ra,dec,t03_bar_a07_no_bar_fraction,t03_bar_a06_bar_fraction
195.2034,28.15834,0.079,0.921
144.6396,20.65623,0.037,0.963
159.3072,24.14742,0,1
159.3232,24.26572,0,1
181.3701,26.40913,0.179,0.821
182.576,26.43074,0.049,0.951
130.4243,16.18297,0,1
147.5785,15.88934,0,1
152.1669,16.78639,0,1
126.5524,10.79865,0,1
135.6871,13.54595,0.156,0.844
125.5216,10.93377,0.098,0.902
135.3102,13.74849,0.061,0.939
140.1694,15.10097,0.02,0.98
158.9912,18.66711,0.148,0.852
146.2379,16.70744,0.036,0.964
148.9472,17.43592,0.148,0.852
235.6207,7.375964,0.121,0.879
236.5164,7.320663,0,1
157.5615,11.07107,0.083,0.917
197.6808,12.16288,0,1
201.3804,11.82526,0.194,0.806
208.7151,11.34562,0.121,0.879
214.4337,10.7318,0.189,0.811
214.7021,10.84382,0,1
227.3231,9.122072,0,1
232.1583,8.39336,0.162,0.838
235.4575,7.87433,0.125,0.875
182.368,66.17545,0,1
189.9946,4.016008,0,1
200.4108,3.82837,0,1
212.1539,3.422954,0.024,0.976
204.3724,4.104443,0.024,0.976
213.8978,3.92577,0.05,0.95
218.8446,3.573225,0,1
223.2719,3.331782,0,1
223.3318,3.396237,0.089,0.911
140.2822,4.833265,0.19,0.81
150.6104,5.741205,0,1
151.5596,5.789803,0,1
174.3817,6.941413,0.071,0.929
137.6827,5.057389,0,1
143.3752,5.410108,0,1
156.4482,6.429419,0,1
165.464,6.949293,0.086,0.914
209.0668,7.194839,0.074,0.926
210.9276,6.97604,0.044,0.956
214.9778,6.812543,0,1
218.2088,6.653875,0.028,0.972
217.8678,7.063919,0.154,0.846
200.2399,8.985466,0.108,0.892
206.6871,8.632797,0,1
168.8143,33.88097,0,1
171.0481,34.04697,0,1
170.5753,34.5045,0,1
189.3264,33.92212,0.133,0.867
193.7038,33.72366,0.125,0.875
196.0311,33.59662,0.143,0.857
186.6478,34.45158,0.056,0.944
190.926,34.38268,0,1
199.8054,33.58821,0.021,0.979
176.3909,34.56893,0.192,0.808
188.034,34.88623,0.068,0.932
198.2486,34.23023,0,1
201.4111,33.68044,0.098,0.902
201.9897,33.75806,0.095,0.905
202.8758,33.53986,0.043,0.957
204.9341,33.24574,0.027,0.973
159.9126,25.32274,0.075,0.925
186.0244,27.57789,0.149,0.851
189.7435,27.56361,0,1
192.2994,27.38502,0.194,0.806
192.7649,27.36997,0.114,0.886
172.0129,27.38603,0.111,0.889
172.3588,27.41646,0.067,0.933
179.4641,27.86867,0.179,0.821
185.0199,27.97532,0.027,0.973
198.609,27.29512,0.05,0.95
190.5415,18.13877,0.1,0.9
197.4456,17.78998,0.088,0.912
191.3095,18.60268,0,1
185.8557,4.456929,0.073,0.927
126.2555,13.5371,0.07,0.93
119.3321,11.20606,0.075,0.925
123.7908,13.03607,0.159,0.841
136.2144,15.58851,0.027,0.973
204.8079,44.25099,0.179,0.821
216.6046,41.37537,0.194,0.806
234.7084,33.9837,0.136,0.864
138.852,10.91522,0.085,0.915
172.0021,11.15829,0.083,0.917
173.704,11.24991,0.121,0.879
201.3256,11.14886,0.095,0.905
227.3728,0.4480056,0.133,0.867
199.6008,0.9494986,0,1
216.8349,1.025864,0,1
192.4361,-2.974025,0.021,0.979
260.1992,28.71798,0,1
246.5178,46.36829,0,1
252.8841,39.88799,0.103,0.897
261.2173,28.07829,0.1,0.9
237.8912,53.52462,0,1
249.3184,44.41824,0.029,0.971
247.3173,40.26017,0.182,0.818
256.5831,30.23383,0,1
256.728,30.26976,0.023,0.977
251.2979,37.44109,0.024,0.976
258.1067,28.86013,0.109,0.891
162.8729,9.279513,0.171,0.829
166.9585,9.715828,0,1
173.3559,9.983274,0,1
180.5065,10.13498,0,1
136.4072,7.229632,0,1
165.1108,9.952993,0.156,0.844
166.677,10.10977,0,1
177.6765,10.52135,0.111,0.889
178.5145,10.43617,0,1
183.7375,10.51319,0.116,0.884
219.2808,9.253684,0.182,0.818
230.1402,7.953368,0.056,0.944
224.1512,4.967623,0.136,0.864
223.8381,5.2978,0.071,0.929
223.9363,5.307473,0.116,0.884
223.9231,5.245046,0,1
226.0066,5.230304,0.05,0.95
229.1981,4.926767,0.083,0.917
241.4073,3.565679,0,1
220.429,5.952755,0.135,0.865
227.2462,5.362033,0,1
227.3635,5.389493,0,1
229.8869,5.232251,0.139,0.861
231.019,5.135971,0.161,0.839
233.8697,4.750708,0.167,0.833
234.5444,4.780397,0.08,0.92
236.2859,4.612281,0.057,0.943
237.5388,4.568863,0.176,0.824
228.3746,5.69877,0.129,0.871
229.0301,5.674044,0,1
233.461,5.273702,0,1
236.3435,4.970787,0,1
241.0773,4.456302,0.167,0.833
213.1485,30.80933,0,1
220.6385,28.72645,0.096,0.904
233.4358,23.97003,0,1
227.4883,27.19027,0.023,0.977
234.8966,24.05696,0.024,0.976
208.804,32.8657,0.139,0.861
212.5181,32.22409,0.132,0.868
155.0695,24.59748,0.051,0.949
160.3647,25.68415,0.167,0.833
161.4531,25.79691,0.167,0.833
173.7264,27.41741,0.161,0.839
177.8837,27.64684,0,1
131.0359,17.8419,0.153,0.847
160.1316,26.00179,0,1
162.634,26.40457,0.022,0.978
180.4998,28.26187,0,1
153.1662,15.87093,0.093,0.907
154.7904,16.1118,0,1
149.0196,13.41061,0.173,0.827
133.329,10.46231,0.152,0.848
142.2528,12.50369,0.179,0.821
150.3672,14.00919,0.158,0.842
128.1901,9.696692,0.091,0.909
142.0644,12.8635,0.184,0.816
158.7023,15.71529,0.044,0.956
163.9966,11.91754,0.118,0.882
165.2979,12.10371,0.186,0.814
170.0992,12.44301,0,1
177.0809,12.75753,0.156,0.844
182.3305,12.83185,0.161,0.839
220.3258,10.63272,0.041,0.959
221.8991,10.40203,0.077,0.923
226.3,9.834628,0,1
199.8329,-1.074936,0,1
202.7358,-1.152535,0.051,0.949
204.4128,-1.101847,0,1
199.7581,-0.6622159,0,1
211.3552,-0.8113437,0.139,0.861
199.4982,-0.2953366,0,1
141.801,51.66336,0.102,0.898
153.6639,56.16958,0.171,0.829
162.948,58.26886,0,1
181.9023,60.12689,0,1
204.6096,58.55672,0.128,0.872
137.417,49.99582,0.147,0.853
137.6653,50.37982,0.053,0.947
139.7494,51.3234,0.111,0.889
156.3967,57.13585,0.122,0.878
156.222,57.0983,0,1
157.0121,57.51072,0,1
197.9491,59.94481,0,1
123.8019,41.21466,0.031,0.969
138.743,51.36106,0.069,0.931
188.7325,9.159833,0,1
157.2421,8.521611,0,1
157.4153,8.669659,0,1
181.1412,9.562602,0.158,0.842
183.5804,9.751949,0.147,0.853
184.147,9.707136,0.194,0.806
196.3633,9.510782,0.048,0.952
164.4918,9.151749,0,1
222.9456,6.638699,0,1
223.9601,6.617465,0,1
227.851,6.344166,0.048,0.952
229.0108,6.132256,0.091,0.909
230.1824,6.13686,0.119,0.881
232.9576,5.77619,0.196,0.804
205.1135,39.50616,0.048,0.952
210.0838,38.91542,0.047,0.953
224.5114,34.34977,0.088,0.912
243.4492,24.77582,0.081,0.919
244.6654,24.02697,0,1
246.607,22.75921,0,1
209.1325,39.66739,0.167,0.833
212.748,38.7654,0.079,0.921
214.9041,38.23426,0.156,0.844
229.6371,32.72289,0,1
229.1087,26.97916,0,1
239.323,22.45518,0,1
217.1549,31.32401,0.059,0.941
229.4985,27.3378,0.176,0.824
232.1737,26.15477,0.171,0.829
234.4102,25.41693,0.022,0.978
243.9256,19.63758,0.026,0.974
150.5671,28.87827,0,1
159.9916,31.30929,0.097,0.903
167.716,32.64328,0,1
185,33.85648,0.118,0.882
185.6065,26.54214,0.133,0.867
190.1516,26.50791,0,1
188.6308,26.99629,0.133,0.867
194.7775,26.54876,0.079,0.921
201.9559,25.93258,0.125,0.875
185.9264,27.38843,0.129,0.871
185.3828,27.75881,0.19,0.81
187.0532,27.8937,0.121,0.879
194.5065,27.48967,0.031,0.969
199.2891,27.07807,0.103,0.897
184.9671,28.20831,0.023,0.977
138.1639,12.84269,0.017,0.983
153.6117,15.7196,0,1
242.0318,19.16828,0.129,0.871
164.0994,9.756467,0.194,0.806
175.7734,13.01299,0,1
180.6138,13.18909,0,1
183.8051,13.18453,0.059,0.941
202.1676,12.71121,0.179,0.821
212.1374,11.81623,0.07,0.93
216.8107,11.33908,0,1
226.1566,10.19892,0.152,0.848
234.1658,9.021954,0.125,0.875
224.0235,-0.2618874,0.186,0.814
208.6861,0.1151212,0.05,0.95
235.3915,0.1805074,0.132,0.868
191.5825,0.5803014,0.083,0.917
203.0281,0.5173275,0,1
212.7937,0.5787892,0.091,0.909
218.8322,0.4757281,0.1,0.9
205.6509,59.39014,0,1
258.9351,29.4043,0.109,0.891
235.1194,53.51186,0.161,0.839
251.489,39.98584,0,1
256.0597,34.25105,0,1
258.8062,30.45145,0.062,0.938
168.3677,10.48597,0.171,0.829
182.7117,10.84405,0.032,0.968
157.9833,50.68497,0.147,0.853
175.7997,53.59184,0,1
177.0767,53.53804,0.08,0.92
194.4843,53.52322,0.069,0.931
205.326,52.1027,0.054,0.946
208.5493,51.34582,0.188,0.812
209.2769,51.28337,0.105,0.895
171.3571,53.56234,0.139,0.861
173.718,53.78782,0.161,0.839
195.3213,53.86083,0.07,0.93
242.2516,26.01307,0.109,0.891
246.2055,23.35484,0.111,0.889
247.7904,22.29566,0.111,0.889
208.6612,40.06776,0.135,0.865
212.8488,39.1418,0.103,0.897
225.7096,34.79625,0.026,0.974
232.103,32.10576,0.15,0.85
234.097,31.07421,0,1
239.3053,28.14713,0.045,0.955
241.8039,26.80963,0.105,0.895
244.8733,24.79151,0.083,0.917
246.2448,23.79009,0.118,0.882
230.1781,33.41413,0.091,0.909
190.9512,33.78329,0.038,0.962
216.5357,29.72671,0.08,0.92
220.1311,28.66885,0.152,0.848
160.3444,31.78069,0.061,0.939
163.0681,32.33165,0,1
174.808,33.93087,0.026,0.974
200.1327,33.29156,0.194,0.806
207.1613,32.24353,0.108,0.892
194.513,27.97054,0.079,0.921
201.3449,27.24906,0.103,0.897
187.0343,28.71225,0.059,0.941
195.5533,28.21484,0.182,0.818
194.3334,23.79623,0.148,0.852
174.2674,24.09625,0.049,0.951
178.4809,24.36911,0.194,0.806
189.1586,24.42877,0.038,0.962
205.3736,23.16695,0.107,0.893
205.8119,23.03848,0.167,0.833
258.0576,35.89887,0.194,0.806
171.5922,-1.054436,0.162,0.838
178.3642,-1.181044,0.069,0.931
162.4401,-0.838956,0,1
170.0885,-0.8295082,0.023,0.977
178.9083,-0.7706151,0.03,0.97
168.1626,0.06624883,0,1
169.0525,0.9931595,0.125,0.875
124.8895,45.37126,0.143,0.857
202.1267,13.10782,0.167,0.833
211.0538,12.32878,0.069,0.931
205.2187,49.59463,0,1
207.3698,49.60646,0.118,0.882
214.778,47.75412,0.025,0.975
218.0168,46.62881,0.1,0.9
219.3483,46.16257,0.163,0.837
217.704,47.37836,0.146,0.854
219.2276,46.80178,0.042,0.958
207.1324,50.49355,0.179,0.821
200.7162,52.3759,0.103,0.897
182.2739,41.31776,0.179,0.821
173.5972,-2.529326,0.075,0.925
176.8615,-2.616433,0.071,0.929
195.5625,-2.538578,0,1
200.6089,-2.418275,0.026,0.974
195.1297,-2.184731,0,1
174.2401,-1.684771,0.161,0.839
174.7674,-1.795857,0,1
190.9852,-1.769929,0.133,0.867
194.8597,-1.78281,0.15,0.85
250.0511,39.47285,0.081,0.919
253.8469,35.36279,0,1
256.7652,31.4237,0.103,0.897
250.6964,39.68294,0,1
255.4417,34.00452,0,1
231.4482,1.029785,0.083,0.917
229.8939,1.477524,0.031,0.969
230.1051,1.412096,0.135,0.865
231.0428,1.4895,0,1
231.826,1.46399,0,1
229.8108,1.890231,0.143,0.857
154.8116,50.59164,0.163,0.837
157.7236,51.33322,0.075,0.925
171.7876,54.02494,0.195,0.805
173.7716,54.06757,0,1
176.5427,54.46474,0,1
180.3011,54.6609,0.049,0.951
196.4244,54.16929,0.174,0.826
152.124,50.19168,0.024,0.976
174.0689,54.53057,0.083,0.917
175.2158,54.80322,0.188,0.812
177.9531,54.8856,0.067,0.933
206.7661,53.1947,0.061,0.939
154.7579,51.48092,0,1
234.7654,31.19796,0.114,0.886
237.6369,29.60051,0.194,0.806
205.3111,41.14027,0,1
206.3344,41.38892,0.028,0.972
226.5904,35.44107,0,1
238.3507,27.67606,0.083,0.917
230.1772,32.18019,0.158,0.842
239.5268,27.27411,0,1
242.3155,25.71246,0.075,0.925
248.6062,21.5409,0.178,0.822
250.6,20.01322,0,1
229.8651,32.93916,0.139,0.861
230.1111,32.84562,0.118,0.882
150.8256,29.78786,0,1
151.0606,29.91883,0.139,0.861
166.9015,33.24392,0.152,0.848
172.7525,34.10237,0.15,0.85
183.1643,34.68941,0,1
191.649,34.45302,0.132,0.868
196.9784,34.08711,0.105,0.895
197.7039,34.07893,0.053,0.947
212.6786,31.40349,0.143,0.857
230.9789,25.64054,0.065,0.935
242.854,20.1747,0.119,0.881
187.6855,24.94757,0.125,0.875
190.3827,24.84779,0.121,0.879
200.0262,24.08861,0.086,0.914
173.8913,24.96256,0,1
179.6175,25.21438,0.161,0.839
196.9284,24.8106,0.1,0.9
174.1936,25.40627,0.167,0.833
190.0774,25.60155,0.079,0.921
132.3655,15.04378,0.133,0.867
146.3943,58.00568,0.121,0.879
208.54,61.94336,0.167,0.833
238.2257,50.61874,0.133,0.867
239.3082,49.82104,0.156,0.844
118.7745,40.04131,0.026,0.974
226.3795,57.41416,0,1
248.992,42.43507,0.143,0.857
198.7814,40.52411,0,1
175.0141,41.25098,0.021,0.979
169.1214,41.07833,0.167,0.833
201.6447,40.92157,0,1
164.086,40.57941,0.176,0.824
176.0447,42.31028,0.182,0.818
181.0896,42.47183,0.08,0.92
200.1734,-1.349154,0.032,0.968
175.7862,-3.696342,0.051,0.949
177.7973,-3.669462,0.116,0.884
186.9093,-3.650762,0.143,0.857
173.961,-3.095703,0.114,0.886
184.1881,-3.206455,0,1
188.3932,-3.196015,0.133,0.867
174.999,-2.699112,0.16,0.84
175.0305,-2.860049,0.103,0.897
180.3896,-2.858207,0.067,0.933
181.1967,-2.720078,0.079,0.921
193.8731,-2.737816,0,1
177.289,-2.30788,0.029,0.971
254.7942,33.02605,0.032,0.968
256.9355,30.32643,0,1
258.1068,28.47197,0,1
247.908,41.49364,0.098,0.902
247.6118,41.48397,0.043,0.957
249.3052,40.0469,0,1
250.1231,39.2351,0.162,0.838
257.1294,30.5786,0.059,0.941
249.5402,40.47903,0.136,0.864
255.045,34.11786,0.024,0.976
258.7427,29.1385,0.114,0.886
202.5736,-2.791415,0.028,0.972
203.0394,-2.749252,0.182,0.818
213.3951,-2.47791,0,1
174.7253,55.05772,0.095,0.905
175.0575,55.05564,0.129,0.871
178.4727,55.35739,0.094,0.906
179.4704,55.31292,0.037,0.963
186.5137,55.51278,0.163,0.837
193.8774,55.21069,0.056,0.944
196.3392,55.08078,0.122,0.878
196.5014,54.88419,0,1
165.2309,54.36712,0.023,0.977
166.8542,54.52419,0.19,0.81
176.715,55.76206,0,1
202.651,54.73264,0.135,0.865
194.2945,54.10004,0.095,0.905
245.5129,24.08564,0,1
247.3225,22.8098,0.195,0.805
247.8399,22.69707,0.129,0.871
244.8707,25.13497,0,1
230.1015,33.77846,0.14,0.86
239.107,29.07028,0,1
241.2836,27.82797,0.156,0.844
157.3755,31.9027,0.043,0.957
159.4609,32.36177,0.067,0.933
179.8694,34.89345,0.097,0.903
206.6411,33.14432,0.157,0.843
207.6088,33.07399,0,1
209.4553,32.59095,0.156,0.844
209.6701,32.58141,0.195,0.805
222.5608,29.09237,0.163,0.837
232.2659,25.45822,0.12,0.88
235.1843,24.33924,0,1
152.1298,20.6417,0,1
119.2835,10.5966,0.115,0.885
137.9148,17.17869,0,1
151.3399,20.97305,0.085,0.915
137.0893,17.48611,0.111,0.889
158.1451,22.68741,0,1
219.0017,60.48442,0.129,0.871
237.8819,52.09481,0.105,0.895
243.1026,48.52989,0.068,0.932
133.7232,53.69046,0.125,0.875
134.2104,54.04265,0.107,0.893
136.6023,55.23849,0.103,0.897
136.9337,55.51829,0.121,0.879
148.0262,60.13601,0.098,0.902
219.6772,60.83897,0,1
165.1836,41.72678,0.071,0.929
165.4319,41.72098,0,1
174.8228,42.97116,0.171,0.829
178.6026,43.27698,0.053,0.947
204.1438,41.8195,0,1
187.3164,6.356449,0.167,0.833
176.4911,6.624111,0.036,0.964
177.6975,6.694825,0,1
188.6021,6.847558,0.1,0.9
119.1682,44.86981,0.07,0.93
119.1822,44.85671,0.171,0.829
134.8897,57.3419,0.158,0.842
112.5957,37.37519,0.121,0.879
145.082,62.23045,0,1
158.5646,65.73238,0,1
316.187,-0.2158021,0.087,0.913
313.3234,0.120346,0.125,0.875
311.3474,0.4925475,0.171,0.829
312.3115,0.6253249,0,1
319.8469,0.5784274,0.15,0.85
322.0015,0.4518215,0.056,0.944
318.0828,0.9620741,0.17,0.83
324.4227,0.8880518,0.044,0.956
315.6324,-0.8588747,0,1
315.2273,-0.4206205,0.128,0.872
317.324,0.2646005,0.037,0.963
318.4709,0.3345303,0,1
319.9087,0.7023886,0,1
248.0103,32.06094,0.067,0.933
249.0903,31.11583,0,1
254.0141,26.88178,0,1
236.6776,43.37247,0.028,0.972
249.1009,33.3847,0.051,0.949
250.6191,31.86717,0.163,0.837
251.2873,31.22354,0.194,0.806
233.3255,45.87473,0.026,0.974
196.1819,14.41324,0,1
195.4587,14.81715,0.125,0.875
197.7229,14.81854,0,1
213.4169,12.19947,0.097,0.903
221.723,11.37975,0.122,0.878
221.9893,11.2606,0.139,0.861
200.2362,14.15608,0.094,0.906
208.0818,13.57579,0.028,0.972
214.613,12.88235,0.176,0.824
217.1532,12.43133,0.176,0.824
222.8963,11.60617,0.103,0.897
225.0784,11.37261,0.108,0.892
209.1449,13.90144,0,1
213.1321,13.30474,0.111,0.889
220.9756,27.20081,0,1
221.4035,27.03487,0.049,0.951
211.9807,29.87276,0.079,0.921
216.3065,29.30839,0,1
222.731,27.57852,0.051,0.949
187.4204,31.44403,0,1
194.5002,31.17406,0.026,0.974
199.0856,30.67833,0,1
200.9371,30.4763,0,1
204.2801,30.05013,0.188,0.812
205.7081,29.7629,0.027,0.973
209.2333,29.16438,0.178,0.822
179.45,31.90295,0.184,0.816
181.5651,31.96787,0.1,0.9
122.2598,11.13759,0.184,0.816
127.0787,12.67939,0,1
172.1679,21.09716,0,1
180.1052,21.55861,0.118,0.882
180.7314,21.44262,0.158,0.842
191.3402,21.50326,0.152,0.848
209.9989,19.62406,0.028,0.972
162.919,59.87037,0,1
176.1378,61.53354,0.135,0.865
186.3324,61.75176,0.135,0.865
151.1971,57.60163,0,1
181.0495,62.50536,0.077,0.923
151.4263,58.49513,0.115,0.885
175.5597,7.080592,0.031,0.969
176.0651,7.108759,0.067,0.933
184.2912,7.191576,0,1
199.5128,6.946568,0.049,0.951
170.5269,7.359827,0.071,0.929
195.781,-2.365329,0.081,0.919
171.6078,-1.878001,0,1
185.639,-2.025511,0.163,0.837
193.5683,-2.034553,0.037,0.963
140.975,-0.6826273,0.143,0.857
146.3009,0.03547934,0,1
208.0174,-2.206611,0.068,0.932
201.011,-1.86855,0.135,0.865
201.4608,-1.960935,0.158,0.842
203.2215,-1.811668,0.185,0.815
202.5636,-1.518798,0,1
210.52,-1.357905,0.032,0.968
212.291,-3.213575,0.049,0.951
213.5052,-2.633064,0,1
234.7033,-2.220983,0.024,0.976
210.0918,-2.315892,0.032,0.968
216.7992,-2.262411,0.047,0.953
218.6874,48.67023,0.147,0.853
245.0524,34.39919,0,1
249.8184,30.20563,0,1
243.2836,36.58756,0.079,0.921
253.0668,27.74645,0,1
238.2202,40.64671,0.189,0.811
248.6626,27.16032,0.067,0.933
238.6377,35.16143,0.1,0.9
243.5665,31.67041,0.186,0.814
252.8679,23.96521,0.125,0.875
252.9135,23.97228,0.023,0.977
253.0835,23.9103,0.036,0.964
253.5306,23.4124,0.132,0.868
239.7901,35.02987,0.053,0.947
240.8186,34.1429,0.162,0.838
250.3831,26.97229,0.034,0.966
254.7013,22.8854,0.163,0.837
245.4841,31.30058,0.029,0.971
180.4352,35.96255,0,1
183.1302,35.9119,0,1
184.3235,35.98874,0.057,0.943
208.3761,33.75143,0.179,0.821
211.1936,33.08753,0.091,0.909
221.126,30.44527,0.125,0.875
225.7402,28.95478,0,1
234.266,25.56535,0.194,0.806
223.7023,25.7925,0.167,0.833
225.4606,25.21564,0.167,0.833
212.5563,29.37107,0,1
151.4639,20.80409,0.023,0.977
147.3906,20.58179,0.02,0.98
148.1871,21.27837,0.16,0.84
148.2359,21.19274,0.024,0.976
159.9693,21.84495,0,1
248.9135,43.68649,0.085,0.915
252.1007,40.51857,0.083,0.917
121.0829,44.62902,0,1
127.7108,50.23006,0,1
154.4761,62.36014,0,1
222.442,60.39854,0,1
237.6538,53.39063,0.054,0.946
253.8293,39.17765,0,1
186.6918,7.919859,0.182,0.818
187.876,8.110155,0,1
188.5282,8.009284,0,1
197.048,7.953619,0.114,0.886
206.0592,7.579288,0.065,0.935
207.0523,7.394648,0.031,0.969
207.1966,7.451708,0.167,0.833
208.4998,7.459341,0.194,0.806
209.4485,7.396275,0,1
178.1286,8.378091,0.075,0.925
178.6483,8.382227,0,1
184.2697,8.446321,0.152,0.848
195.5061,8.270812,0,1
199.0931,8.204094,0.034,0.966
201.105,8.107437,0.133,0.867
197.0117,6.48121,0.161,0.839
120.9603,44.74047,0,1
126.5381,49.84513,0,1
128.0001,50.93404,0,1
133.6981,54.57611,0.16,0.84
144.9083,59.79126,0.028,0.972
161.6536,63.22424,0.167,0.833
260.3239,53.13794,0.045,0.955
255.1368,62.39975,0.067,0.933
